,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
89979,False,False,0,False,0,False
90019,True,False,0,False,1,True
90883,False,True,0,False,0,False
90894,True,False,0,False,0,True
90972,True,False,0,False,1,True
91033,False,True,0,False,0,True
91082,True,False,0,True,1,True
91103,True,False,0,False,1,True
91148,False,True,0,False,0,True
91219,False,True,0,False,1,False
91244,False,True,0,True,1,False
91399,True,False,0,False,1,True
91443,True,False,0,False,0,True
91468,True,False,0,False,0,True
91479,True,False,0,False,0,True
91516,False,True,0,True,2,False
91518,True,False,0,False,0,True
91653,True,False,0,False,0,True
91721,False,True,0,False,0,True
91758,True,False,0,False,0,True
91812,True,False,0,False,0,True
91847,True,False,0,False,1,True
91923,True,False,0,True,1,True
91992,True,False,0,False,1,True
92069,False,True,0,True,1,False
92091,True,False,0,False,0,True
92111,True,False,0,False,0,True
92247,False,True,0,False,0,True
92371,False,True,0,True,2,False
92426,False,True,0,True,1,False
92484,False,True,0,False,0,False
92551,True,False,0,False,0,True
92561,True,False,0,False,1,True
92568,False,True,0,False,0,False
92617,True,False,0,False,0,True
92700,False,True,0,False,0,False
92864,False,True,0,False,1,False
92978,True,False,0,False,0,True
93086,True,False,0,False,1,True
